gene	status
LRRC7	candidate
LRRC75B	candidate
LRRIQ1	candidate
LRRIQ3	candidate
LRRK1	candidate
LRRK2	candidate
LRRN3	candidate
LRRTM1	candidate
LRRTM4	candidate
LRTM1	candidate
LRWD1	candidate
LSAMP	candidate
LTA4H	candidate
LTB	candidate
LTBP2	candidate
LTBP4	candidate
LTK	candidate
LUC7L	candidate
LUC7L2	candidate
LUM	candidate
LUZP1	candidate
LUZP2	candidate
LY6K	candidate
LYN	candidate
LYPD8	candidate
LYPLA1	candidate
LYRM9	candidate
MACF1	candidate
MACROD2	candidate
MAFA	candidate
MAGEA1	candidate
MAGEA6	candidate
MAGEC1	candidate
MAGEC2	candidate
MAGEC3	candidate
MAGED1	candidate
MAGI2	candidate
MALRD1	candidate
MALSU1	candidate
MAML1	candidate
MAML3	candidate
MAMLD1	candidate
MAMSTR	candidate
MAN1A2	candidate
MAN2A1	candidate
MAP1S	candidate
MAP2K3	candidate
MAP2K7	candidate
MAP3K12	candidate
MAP3K19	candidate
MAP3K21	candidate
MAP3K4	candidate
MAP3K5	candidate
MAP3K6	candidate
MAP3K9	candidate
MAP4K3	candidate
MAP7	candidate
MAPK4	candidate
MAPK7	candidate
MAPK8IP1	candidate
MAPKAPK5	candidate
MAPRE3	candidate
MARCHF11	candidate
MARK2	candidate
MARK3	candidate
MAS1L	candidate
MAST1	candidate
MAST3	candidate
MAST4	candidate
MAZ	candidate
MB21D2	candidate
MBD1	candidate
MBD6	candidate
MBNL2	candidate
MBOAT2	candidate
MC1R	candidate
MCHR1	candidate
MCHR2	candidate
MCL1	candidate
MCM5	candidate
MCM7	candidate
MCMBP	candidate
MCRS1	candidate
MDC1	candidate
MDFIC	candidate
MED1	candidate
MED12L	candidate
MED13	candidate
MED16	candidate
MED23	candidate
MED31	candidate
MEF2B	candidate
MEF2C	candidate
MEF2D	candidate
MEP1A	candidate
METTL14	candidate
METTL23	candidate
METTL26	candidate
METTL3	candidate
METTL7A	candidate
MFHAS1	candidate
MFSD10	candidate
MGA	candidate
MGAM	candidate
MGAT3	candidate
MGAT5B	candidate
MICALCL	candidate
MIER3	candidate
MINAR1	candidate
MIOS	candidate
MKI67	candidate
MKNK1	candidate
