otu	domain	phylum	order	class	family	genus	quality
OTU_162	OTU_162	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_164	OTU_164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|75
OTU_165	OTU_165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_166	OTU_166	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_167	OTU_167	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	|100
OTU_168	OTU_168	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_169	OTU_169	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|100
OTU_170	OTU_170	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|100
OTU_171	OTU_171	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|98
OTU_172	OTU_172	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_173	OTU_173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_174	OTU_174	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	|100
OTU_175	OTU_175	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
OTU_176	OTU_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|80
OTU_177	OTU_177	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_178	OTU_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|85
OTU_179	OTU_179	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|85
OTU_180	OTU_180	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	|100
OTU_182	OTU_182	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|70
OTU_183	OTU_183	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_184	OTU_184	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|72
OTU_185	OTU_185	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|90
OTU_186	OTU_186	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_187	OTU_187	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_188	OTU_188	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
OTU_189	OTU_189	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_191	OTU_191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_192	OTU_192	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_193	OTU_193	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	|100
OTU_194	OTU_194	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|100
OTU_195	OTU_195	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_196	OTU_196	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Coprobacter	|100
OTU_197	OTU_197	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_198	OTU_198	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_199	OTU_199	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	|100
OTU_200	OTU_200	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
OTU_202	OTU_202	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|74
OTU_205	OTU_205	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_206	OTU_206	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|76
OTU_207	OTU_207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_208	OTU_208	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_209	OTU_209	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|96
OTU_210	OTU_210	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|100
OTU_211	OTU_211	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_212	OTU_212	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	|100
OTU_213	OTU_213	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|99
OTU_214	OTU_214	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_215	OTU_215	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_216	OTU_216	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_217	OTU_217	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_218	OTU_218	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Gordonibacter	|100
OTU_219	OTU_219	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_220	OTU_220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|97
OTU_221	OTU_221	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	|100
OTU_222	OTU_222	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|98
OTU_223	OTU_223	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XI	Gemella	|100
OTU_224	OTU_224	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_225	OTU_225	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_226	OTU_226	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|79
OTU_228	OTU_228	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella	|100
OTU_229	OTU_229	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
OTU_230	OTU_230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|99
OTU_231	OTU_231	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium	|100
OTU_232	OTU_232	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	|100
OTU_233	OTU_233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_234	OTU_234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_235	OTU_235	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	|100
OTU_236	OTU_236	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|100
OTU_237	OTU_237	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|81
