entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000205667	0.3	ARSH	arylsulfatase family member H [Source:HGNC Symbol;Acc:HGNC:32488]	n/a	0.841073757924082	2.63645773944896	0.0002569729295768	0.000790323264038372	0.00677562007471733	0.051036718522924	0.106153898064585	0.15118247114134
ENSG00000205765	0.3	RIMOC1	RAB7A interacting MON1-CCZ1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:27750]	n/a	0.535191647403975	0.665742046026699	5.48089638332701e-15	4.41970350581555e-07	0.0452761167089941	0.136028688855948	0.200571601638644	0.228384362624592
ENSG00000205869	0.3	KRTAP5-1	keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]	n/a	0.93593263467012	2.41954123418976	0.000937669837096653	0.00227010693963826	0.0122139238503871	0.0739835922093851	0.149067777597608	0.191623721195247
ENSG00000205930	0.3	EPCIP-AS1	EPCIP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1290]	n/a	-0.807205345171949	1.00018211254653	2.57208752768651e-12	1.91425489502676e-05	0.0179993758864426	0.0628694902775549	0.135528524355424	0.204339617001144
ENSG00000205940	0.3	HSP90AB2P	"heat shock protein 90 alpha family class B member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:32537]"	n/a	0.926817669167189	1.78384567834847	3.47786465164207e-06	8.54321893045515e-05	0.00501386741585001	0.0762617527205448	0.138571222858609	0.179551087558438
ENSG00000205959	0.3		novel transcript	n/a	-0.798662636786368	1.24052470908443	1.35699274407744e-08	0.000985754123505085	0.0258913555532843	0.089693293088286	0.170415744065134	0.229861342613244
ENSG00000205978	0.3	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	n/a	-0.8176998317202	1.03811371734683	3.3502195340484e-10	0.000390208139046886	0.0302524192600419	0.0893500949410294	0.177799104536009	0.234045682811358
ENSG00000205981	0.3	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]	n/a	0.623913890084975	0.675790915065113	9.33869316160757e-16	2.32246140024111e-08	0.00885014755156413	0.109768384771761	0.167968357036371	0.207912331607436
ENSG00000206075	0.3	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	n/a	-2.22723803520043	3.217788557095	0.00606845329028929	0.0115548650371043	0.0418724513968582	0.0903601950871584	0.143007730602586	0.201022692467693
ENSG00000206140	0.3	TMEM191C	transmembrane protein 191C [Source:HGNC Symbol;Acc:HGNC:33601]	n/a	0.764963155876798	1.61107607185515	0.00026583660865716	0.00146178893688918	0.0190885469955804	0.0990671114355448	0.164288271330214	0.215811278386902
ENSG00000206562	0.3	METTL6	"methyltransferase 6, tRNA N3-cytidine [Source:HGNC Symbol;Acc:HGNC:28343]"	n/a	0.579931391488659	0.566428210375601	6.34040042182081e-20	9.80794908569883e-11	0.00229408511503139	0.0943075434376239	0.15193478698307	0.204853526056836
ENSG00000207697	0.3	MIR573	microRNA 573 [Source:HGNC Symbol;Acc:HGNC:32829]	n/a	-0.822394279897088	1.54997105236285	1.52870921902301e-06	3.96097999393264e-05	0.013873318935371	0.0546280121976737	0.124515269338585	0.186965427476783
ENSG00000211454	0.3	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24056]	n/a	0.887771863726602	1.70060006965185	5.17279231090093e-07	2.60301400129681e-05	0.00368734405460369	0.0683436438077725	0.137206317363703	0.172885100922259
ENSG00000211611	0.3	IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5836]	n/a	-1.53186886714771	4.01044918447839	0.00224550439521618	0.00476269764994253	0.0231124614581887	0.0587956002584675	0.111120416236116	0.165044105948876
ENSG00000211649	0.3	IGLV7-46	immunoglobulin lambda variable 7-46 [Source:HGNC Symbol;Acc:HGNC:5930]	n/a	-1.161068725208	3.58769725252835	0.00501577073728565	0.00962709653972111	0.0427674030615149	0.09604198467879	0.165030392843834	0.222732056423324
